,RV_actual,RV_forecast_best,RV_forecast_ensemble
2018-05-29,7.559845369690493e-05,0.00019967551790905604,0.0001439622270040133
2018-05-30,9.615136713522568e-05,0.00011626114342904307,9.907952794712409e-05
2018-05-31,4.019470671396663e-05,0.00013438342204270178,0.00011189245630734757
2018-06-01,3.047734505725829e-05,8.502068504362787e-05,8.409625329957568e-05
2018-06-04,4.715372505899126e-05,7.696721327768091e-05,7.875141389520918e-05
2018-06-05,4.790081853790201e-05,9.443344850421183e-05,8.50355566076204e-05
2018-06-06,3.620992005499165e-05,9.58934449205631e-05,8.532508897336696e-05
2018-06-07,6.570822798667164e-05,8.672923827578584e-05,7.966024550191028e-05
2018-06-08,2.710464455527254e-05,0.0001130045038766615,9.500304021117476e-05
2018-06-11,2.772117249111057e-05,7.847417096620516e-05,7.618814455746944e-05
2018-06-12,2.0318813241130285e-05,7.975257256483324e-05,7.68791268267507e-05
2018-06-13,6.182920864139672e-05,7.366442047036768e-05,7.282671701710805e-05
2018-06-14,3.196456101936912e-05,0.0001104975292705838,9.402713214472477e-05
2018-06-15,4.2267082368562594e-05,8.453233663946402e-05,7.961464656260008e-05
2018-06-18,8.540712801310702e-05,9.354105530756848e-05,8.484161165826898e-05
2018-06-19,3.415398686415968e-05,0.00013150121881570805,0.0001070429475521634
2018-06-20,6.379635856675261e-05,8.560286584460501e-05,8.290931404239302e-05
2018-06-21,4.380722366621224e-05,0.00011220496622546086,9.800887869503038e-05
2018-06-22,5.712128604802683e-05,9.39950663252904e-05,8.808745288597595e-05
2018-06-25,2.524609388001636e-05,0.00010567601868558241,9.469848287633273e-05
2018-06-26,9.97961703655002e-05,7.796591109761745e-05,7.825843019726322e-05
2018-06-27,9.6621540203936e-05,0.0001439170380435614,0.00011615173422949245
2018-06-28,8.17425484279104e-05,0.00013976205199424813,0.00011373383308093115
2018-06-29,9.271664843488663e-05,0.00012572715011195275,0.00010752168346987369
2018-07-02,6.017569442802804e-05,0.00013477018427156961,0.00011338349430060004
2018-07-03,1.2743855118066071e-05,0.00010490161704272688,9.824082278187419e-05
2018-07-04,5.347247344077337e-05,6.39292014533729e-05,7.212586970747298e-05
2018-07-05,4.4412161121572255e-05,0.00010151778090681878,9.223477253751512e-05
2018-07-06,2.059792477144299e-05,9.424239544951642e-05,8.742069992870276e-05
2018-07-09,1.997331494334959e-05,7.42230230937512e-05,7.522184246702644e-05
2018-07-10,4.312884431732242e-05,7.408389325031677e-05,7.380633956430237e-05
2018-07-11,2.645698791827931e-05,9.454972546173511e-05,8.539995531640907e-05
